epoch,step_in_epoch,global_step,L_det,L_cls,L_center,L_size,L_yaw,L_embed,total,match_count,track_cls_acc
1,1,1,0.000000,0.681507,0.391513,0.472677,0.995700,0.398017,2.939414,28,1.000000
1,2,2,0.000000,9.598589,0.290636,0.353050,0.130114,0.399842,10.772230,42,0.000000
1,3,3,0.000000,0.947082,0.318706,0.730776,0.129850,0.398100,2.524514,37,0.000000
1,4,4,0.000000,9.319322,0.286003,0.509730,0.130762,0.400922,10.646738,34,1.000000
1,5,5,0.000000,7.384967,0.267527,0.522601,0.129425,0.399730,8.704249,29,1.000000
1,6,6,0.000000,2.504021,0.306389,0.602129,0.128844,0.400061,3.941444,28,1.000000
1,7,7,0.000000,2.062226,0.341238,0.410435,0.132008,0.400087,3.345994,43,0.000000
1,8,8,0.000000,2.713845,0.307740,0.496941,0.129750,0.399991,4.048266,34,0.000000
1,9,9,0.000000,1.918279,0.265817,0.433800,0.131525,0.400071,3.149492,24,0.000000
1,10,10,0.000000,1.640583,0.343204,0.558938,0.134596,0.400057,3.077378,35,0.000000
1,11,11,0.000000,0.689993,0.321672,0.450068,0.136721,0.399973,1.998427,32,0.000000
1,12,12,0.000000,1.227945,0.317425,0.310788,0.128614,0.799860,2.784632,33,1.000000
1,13,13,0.000000,1.518458,0.299780,0.267085,0.134100,0.400014,2.619437,34,1.000000
1,14,14,0.000000,1.071241,0.371312,0.467219,0.132792,0.799875,2.842439,35,1.000000
1,15,15,0.000000,0.662417,0.321548,0.392530,0.135464,0.399982,1.911941,28,0.000000
1,16,16,0.000000,0.798618,0.458935,0.328940,0.129819,0.400006,2.116318,28,0.000000
1,17,17,0.000000,1.132776,0.336950,0.328043,0.132357,0.399998,2.330123,33,0.000000
1,18,18,0.000000,1.053308,0.323109,0.217211,0.131263,0.799966,2.524855,29,0.000000
1,19,19,0.000000,1.065448,0.320045,0.308138,0.130945,0.400002,2.224577,39,0.000000
1,20,20,0.000000,0.782034,0.301753,0.239719,0.131065,0.399997,1.854568,39,0.000000
1,21,21,0.000000,0.688431,0.268378,0.151520,0.134250,0.400004,1.642584,29,1.000000
1,22,22,0.000000,0.846560,0.290098,0.226190,0.129823,0.400007,1.892678,33,1.000000
1,23,23,0.000000,0.947622,0.307386,0.262643,0.130588,0.399995,2.048234,30,1.000000
1,24,24,0.000000,0.815617,0.351145,0.281818,0.128460,0.399996,1.977036,33,1.000000
1,25,25,0.000000,0.687414,0.326572,0.242745,0.131141,0.400008,1.787881,32,1.000000
1,26,26,0.000000,0.666451,0.327681,0.260916,0.132430,0.400001,1.787479,31,0.000000
1,27,27,0.000000,0.796621,0.306109,0.144008,0.133021,0.400001,1.779760,38,0.000000
1,28,28,0.000000,0.692058,0.277405,0.157491,0.130386,0.400000,1.657340,26,0.000000
1,29,29,0.000000,0.827233,0.307682,0.278104,0.131536,0.400002,1.944558,40,0.000000
1,30,30,0.000000,0.699786,0.314103,0.178198,0.132987,0.400000,1.725074,33,0.000000
1,31,31,0.000000,0.680477,0.278293,0.127284,0.137247,0.400003,1.623304,38,0.000000
1,32,32,0.000000,0.682048,0.300247,0.280204,0.130590,0.399992,1.793082,31,1.000000
1,33,33,0.000000,0.728171,0.276992,0.163716,0.132144,0.799979,2.101002,33,1.000000
1,34,34,0.000000,0.772895,0.271521,0.316579,0.133728,0.399990,1.894713,24,1.000000
1,35,35,0.000000,0.689674,0.269904,0.295161,0.131723,0.400001,1.786462,26,1.000000
1,36,36,0.000000,0.604282,0.366432,0.176071,0.133474,0.399996,1.680255,21,0.000000
1,37,37,0.000000,0.728698,0.288817,0.193740,0.131890,0.399994,1.743139,36,0.000000
1,38,38,0.000000,0.829492,0.362955,0.158720,0.130279,0.400003,1.881449,40,0.000000
1,39,39,0.000000,0.575668,0.361385,0.233760,0.130754,0.399999,1.701565,19,0.000000
1,40,40,0.000000,0.663224,0.296774,0.182379,0.132765,0.400003,1.675145,28,0.000000
1,41,41,0.000000,0.649562,0.269951,0.146482,0.131541,0.400003,1.597539,31,0.000000
1,42,42,0.000000,0.632523,0.260208,0.127176,0.132108,0.399994,1.552010,34,0.000000
1,43,43,0.000000,0.638921,0.310110,0.167044,0.131720,0.400000,1.647794,36,1.000000
1,44,44,0.000000,0.658588,0.294716,0.232700,0.134158,0.399998,1.720160,39,1.000000
1,45,45,0.000000,0.677417,0.330584,0.193655,0.132063,0.399997,1.733716,28,1.000000
1,46,46,0.000000,0.611243,0.304542,0.225787,0.132277,0.399998,1.673847,45,1.000000
1,47,47,0.000000,0.567067,0.312861,0.133674,0.130946,0.799986,1.944534,26,0.961538
1,48,48,0.000000,0.519140,0.320845,0.318271,0.131357,0.399997,1.689610,23,0.000000
1,49,49,0.000000,0.595507,0.377483,0.094555,0.132415,0.399999,1.599959,36,0.000000
1,50,50,0.000000,0.492986,0.284006,0.202426,0.132998,0.799985,1.912403,24,0.000000
1,51,51,0.000000,0.454889,0.282177,0.200975,0.132154,0.799986,1.870181,23,0.000000
1,52,52,0.000000,0.548617,0.302420,0.145734,0.131284,0.400000,1.528054,44,0.000000
1,53,53,0.000000,0.430109,0.295984,0.115099,0.135947,0.400008,1.377147,41,0.804878
1,54,54,0.000000,0.322201,0.373843,0.323822,0.129336,0.799985,1.949187,27,1.000000
1,55,55,0.000000,0.290531,0.257249,0.188880,0.128865,0.799983,1.665509,26,1.000000
1,56,56,0.000000,0.220198,0.262059,0.129597,0.132123,0.400009,1.143986,40,0.975000
1,57,57,0.000000,0.159969,0.268644,0.285892,0.133930,0.799982,1.648417,35,1.000000
1,58,58,0.000000,0.119151,0.356545,0.170613,0.131248,0.399989,1.177545,46,0.978261
1,59,59,0.000000,0.132863,0.342518,0.237406,0.133060,0.400021,1.245868,37,0.972973
1,60,60,0.000000,0.244846,0.343834,0.116076,0.133862,0.400542,1.239161,45,0.933333
1,61,61,0.000000,0.141088,0.307713,0.160206,0.131960,0.400002,1.140970,32,1.000000
1,62,62,0.000000,0.162019,0.267009,0.204436,0.127659,0.399994,1.161117,28,1.000000
1,63,63,0.000000,0.180545,0.295484,0.237038,0.134116,0.400000,1.247184,24,1.000000
1,64,64,0.000000,0.197480,0.308020,0.158037,0.136218,0.400002,1.199757,24,0.958333
1,65,65,0.000000,0.136884,0.257653,0.257791,0.133837,0.399999,1.186165,29,1.000000
1,66,66,0.000000,0.262195,0.336735,0.279062,0.136030,0.399990,1.414013,36,0.944444
1,67,67,0.000000,0.170110,0.228161,0.299942,0.132058,0.799984,1.630254,23,1.000000
1,68,68,0.000000,0.369425,0.330821,0.211656,0.131430,0.399916,1.443248,34,0.941176
1,69,69,0.000000,0.073727,0.315223,0.240929,0.133106,0.799985,1.562971,41,1.000000
1,70,70,0.000000,0.132851,0.244610,0.122666,0.132071,0.399996,1.032194,25,1.000000
1,71,71,0.000000,0.112769,0.365505,0.209392,0.128571,0.400000,1.216237,28,1.000000
1,72,72,0.000000,0.187079,0.365949,0.114457,0.133183,0.399971,1.200641,31,0.870968
1,73,73,0.000000,0.105647,0.311126,0.291019,0.135044,0.399997,1.242834,33,0.969697
1,74,74,0.000000,0.086171,0.358884,0.160322,0.133975,0.399996,1.139348,36,1.000000
1,75,75,0.000000,0.131814,0.307701,0.253068,0.132161,0.799954,1.624698,30,0.933333
1,76,76,0.000000,0.106454,0.316411,0.159499,0.131229,0.400015,1.113607,33,0.969697
1,77,77,0.000000,0.103732,0.322457,0.153590,0.132335,0.399977,1.112091,50,0.960000
1,78,78,0.000000,0.113723,0.285267,0.191243,0.130509,0.399999,1.120741,30,1.000000
1,79,79,0.000000,0.127931,0.304261,0.163722,0.130432,0.799928,1.526273,35,1.000000
1,80,80,0.000000,0.157372,0.332669,0.161102,0.136494,0.799985,1.587622,23,1.000000
1,81,81,0.000000,0.137638,0.313560,0.138086,0.132233,0.399947,1.121464,34,0.970588
1,82,82,0.000000,0.144182,0.335274,0.108389,0.129741,0.399939,1.117525,32,0.968750
1,83,83,0.000000,0.161956,0.363564,0.342917,0.136865,0.400006,1.405308,24,1.000000
1,84,84,0.000000,0.117314,0.369369,0.148932,0.130097,0.400001,1.165714,32,1.000000
1,85,85,0.000000,0.118034,0.347049,0.156069,0.129379,0.399933,1.150463,37,0.972973
1,86,86,0.000000,0.113335,0.328392,0.088903,0.130301,0.400082,1.061012,38,0.973684
1,87,87,0.000000,0.126304,0.318407,0.281059,0.131916,0.799816,1.657502,35,1.000000
1,88,88,0.000000,0.121746,0.263245,0.101323,0.131015,0.400004,1.017333,28,1.000000
1,89,89,0.000000,0.094689,0.364525,0.088323,0.132460,0.399861,1.079858,55,0.927273
1,90,90,0.000000,0.164117,0.306897,0.162425,0.135171,0.399668,1.168279,35,0.914286
1,91,91,0.000000,0.086491,0.322464,0.135525,0.133134,0.400003,1.077617,36,1.000000
1,92,92,0.000000,0.117291,0.285554,0.178221,0.133623,0.399889,1.114579,32,1.000000
1,93,93,0.000000,0.145023,0.300416,0.314654,0.132606,0.799407,1.692106,28,0.964286
1,94,94,0.000000,0.123079,0.230777,0.096986,0.133748,0.399759,0.984349,34,1.000000
1,95,95,0.000000,0.099318,0.287467,0.125582,0.130906,0.400115,1.043388,35,1.000000
1,96,96,0.000000,0.106305,0.336935,0.161615,0.132726,0.400015,1.137596,28,1.000000
1,97,97,0.000000,0.086714,0.288144,0.087955,0.132023,0.400272,0.995109,44,1.000000
1,98,98,0.000000,0.088074,0.292735,0.137549,0.132106,0.400162,1.050625,40,1.000000
1,99,99,0.000000,0.137744,0.310297,0.103659,0.135889,0.399989,1.087578,21,1.000000
1,100,100,0.000000,0.073066,0.321429,0.133513,0.127062,0.399567,1.054637,46,1.000000
1,101,101,0.000000,0.124239,0.281009,0.324976,0.130230,0.400013,1.260467,23,1.000000
1,102,102,0.000000,0.169713,0.280929,0.139311,0.132247,0.397266,1.119466,43,0.930233
1,103,103,0.000000,0.136265,0.218024,0.242719,0.132983,0.798915,1.528907,22,1.000000
1,104,104,0.000000,0.162822,0.242677,0.238102,0.132232,0.385503,1.161337,24,0.958333
1,105,105,0.000000,0.130919,0.234190,0.154508,0.128839,0.366462,1.014918,30,0.966667
1,106,106,0.000000,0.149173,0.317382,0.164154,0.128371,0.738247,1.497328,34,0.941176
1,107,107,0.000000,0.121765,0.343763,0.133082,0.133075,0.396123,1.127808,26,1.000000
1,108,108,0.000000,0.082212,0.345528,0.193934,0.130461,0.394307,1.146442,41,0.975610
1,109,109,0.000000,0.136960,0.311983,0.150752,0.130737,0.411225,1.141657,24,1.000000
1,110,110,0.000000,0.302600,0.290683,0.143978,0.135859,0.390147,1.263267,37,0.837838
1,111,111,0.000000,0.259712,0.359015,0.194923,0.130434,0.376560,1.320644,39,0.846154
1,112,112,0.000000,0.177366,0.257436,0.215101,0.131320,0.444967,1.226192,40,0.925000
1,113,113,0.000000,0.146610,0.321839,0.191331,0.132716,0.798707,1.591202,27,1.000000
1,114,114,0.000000,0.188174,0.438321,0.153060,0.133497,0.400186,1.313238,26,1.000000
1,115,115,0.000000,0.172162,0.225641,0.115849,0.128883,0.398887,1.041422,30,1.000000
1,116,116,0.000000,0.130202,0.264840,0.220149,0.131714,0.399632,1.146537,43,1.000000
1,117,117,0.000000,0.128628,0.336121,0.133035,0.131583,0.399465,1.128832,41,0.975610
1,118,118,0.000000,0.129872,0.320096,0.203728,0.130337,0.400048,1.184081,30,1.000000
1,119,119,0.000000,0.136236,0.292846,0.163922,0.131578,0.400539,1.125120,43,1.000000
1,120,120,0.000000,0.146817,0.278849,0.170801,0.131134,0.398370,1.125972,36,1.000000
1,121,121,0.000000,0.112734,0.276070,0.149594,0.127063,0.399048,1.064509,32,1.000000
1,122,122,0.000000,0.122629,0.255313,0.196977,0.131423,0.398561,1.104904,30,1.000000
1,123,123,0.000000,0.197393,0.394601,0.137803,0.129722,0.398293,1.257813,41,0.853658
1,124,124,0.000000,0.132741,0.279591,0.235431,0.133206,0.398530,1.179500,32,0.968750
1,125,125,0.000000,0.156908,0.245416,0.156615,0.130647,0.400050,1.089637,39,0.897436
1,126,126,0.000000,0.165564,0.291956,0.178308,0.127812,0.397623,1.161264,24,0.958333
1,127,127,0.000000,0.136926,0.362458,0.237895,0.130027,0.402894,1.270200,34,0.970588
1,128,128,0.000000,0.137418,0.298131,0.107361,0.131089,0.399535,1.073534,30,1.000000
1,129,129,0.000000,0.124984,0.303417,0.207559,0.133079,0.796734,1.565773,37,1.000000
1,130,130,0.000000,0.101983,0.324049,0.085924,0.129392,0.398920,1.040268,39,1.000000
1,131,131,0.000000,0.136507,0.238270,0.202746,0.133711,0.398762,1.109997,30,1.000000
1,132,132,0.000000,0.108467,0.309522,0.107533,0.129026,0.399877,1.054425,33,1.000000
1,133,133,0.000000,0.140252,0.287728,0.129956,0.128261,0.399805,1.086001,22,1.000000
1,134,134,0.000000,0.104273,0.240796,0.090534,0.134861,0.398831,0.969295,32,1.000000
1,135,135,0.000000,0.134286,0.293680,0.176950,0.132106,0.398812,1.135833,40,0.925000
1,136,136,0.000000,0.109847,0.266607,0.107845,0.133996,0.397919,1.016214,32,1.000000
1,137,137,0.000000,0.112472,0.325796,0.095919,0.128924,0.397449,1.060559,30,0.966667
1,138,138,0.000000,0.126085,0.289850,0.128341,0.130544,0.401617,1.076437,44,0.977273
1,139,139,0.000000,0.100699,0.307337,0.206597,0.132380,0.401324,1.148337,40,0.975000
1,140,140,0.000000,0.115278,0.328455,0.119734,0.130727,0.400057,1.094250,30,1.000000
1,141,141,0.000000,0.072994,0.271450,0.177505,0.131738,0.398213,1.051900,42,1.000000
1,142,142,0.000000,0.149237,0.222577,0.155391,0.129659,0.399895,1.056760,28,1.000000
1,143,143,0.000000,0.113971,0.240668,0.123397,0.129497,0.402749,1.010281,35,1.000000
1,144,144,0.000000,0.134248,0.259841,0.214356,0.131764,0.396916,1.137125,31,1.000000
1,145,145,0.000000,0.117738,0.253779,0.149808,0.135442,0.400105,1.056872,41,0.975610
1,146,146,0.000000,0.083367,0.254205,0.144922,0.129191,0.402827,1.014512,36,1.000000
1,147,147,0.000000,0.098825,0.329730,0.351440,0.129283,0.399122,1.308400,29,1.000000
1,148,148,0.000000,0.078818,0.276662,0.117816,0.133780,0.406376,1.013452,38,1.000000
1,149,149,0.000000,0.135242,0.277023,0.146860,0.148867,0.396399,1.104390,45,0.933333
1,150,150,0.000000,0.090251,0.225633,0.071741,0.132029,0.395533,0.915188,38,0.973684
1,151,151,0.000000,0.131054,0.254076,0.168409,0.130713,0.785624,1.469875,27,1.000000
1,152,152,0.000000,0.140557,0.207614,0.127282,0.132598,0.399982,1.008033,28,1.000000
1,153,153,0.000000,0.158898,0.181347,0.128770,0.132857,0.427838,1.029710,32,0.968750
1,154,154,0.000000,0.149912,0.151060,0.155309,0.130309,0.388084,0.974674,28,1.000000
1,155,155,0.000000,0.166056,0.158147,0.217430,0.133527,0.383958,1.059118,29,0.931035
1,156,156,0.000000,0.124596,0.223673,0.198187,0.129809,0.385625,1.061890,37,0.945946
1,157,157,0.000000,0.130666,0.282117,0.258736,0.129358,0.408000,1.208877,29,0.965517
1,158,158,0.000000,0.254568,0.166062,0.120003,0.131250,0.377550,1.049434,34,0.794118
1,159,159,0.000000,0.175776,0.154770,0.196404,0.133846,0.394021,1.054818,36,0.916667
1,160,160,0.000000,0.143152,0.161167,0.117786,0.128958,0.391210,0.942273,32,1.000000
1,161,161,0.000000,0.127914,0.149932,0.097603,0.131965,0.703570,1.210984,39,1.000000
1,162,162,0.000000,0.208943,0.143337,0.145299,0.133020,0.471365,1.101964,26,1.000000
1,163,163,0.000000,0.145199,0.143426,0.209387,0.130969,0.446535,1.075515,36,1.000000
1,164,164,0.000000,0.106625,0.141435,0.095746,0.130235,0.394127,0.868168,44,1.000000
1,165,165,0.000000,0.151174,0.142595,0.170873,0.129082,0.397878,0.991602,41,0.975610
1,166,166,0.000000,0.076672,0.188440,0.119038,0.133816,0.400658,0.918625,42,1.000000
1,167,167,0.000000,0.207607,0.184267,0.203450,0.131265,0.393595,1.120184,36,0.944444
1,168,168,0.000000,0.147014,0.115265,0.162805,0.135072,0.399933,0.960089,35,1.000000
1,169,169,0.000000,0.256613,0.112634,0.107773,0.130700,0.399798,1.007518,26,1.000000
1,170,170,0.000000,0.199186,0.122932,0.168193,0.131274,0.399766,1.021351,31,1.000000
1,171,171,0.000000,0.233910,0.139169,0.110493,0.132673,0.400613,1.016859,39,0.871795
1,172,172,0.000000,0.113449,0.130830,0.087773,0.131780,0.400016,0.863848,42,0.976191
1,173,173,0.000000,0.185804,0.103108,0.172712,0.131113,0.399951,0.992688,27,1.000000
1,174,174,0.000000,0.182421,0.122074,0.145639,0.133958,0.400366,0.984458,29,0.965517
1,175,175,0.000000,0.176566,0.201259,0.165238,0.130217,0.400800,1.074079,45,0.911111
1,176,176,0.000000,0.152621,0.153614,0.278065,0.131861,0.399986,1.116148,26,1.000000
1,177,177,0.000000,0.141470,0.126901,0.328633,0.134489,0.399775,1.131268,35,0.942857
1,178,178,0.000000,0.144889,0.102033,0.247817,0.129065,0.399987,1.023791,25,1.000000
1,179,179,0.000000,0.121343,0.113307,0.201421,0.128476,0.399884,0.964431,33,1.000000
1,180,180,0.000000,0.100629,0.121885,0.124884,0.132131,0.400065,0.879595,43,1.000000
1,181,181,0.000000,0.183038,0.146323,0.184755,0.128815,0.799213,1.442145,25,0.920000
1,182,182,0.000000,0.126918,0.118729,0.536012,0.131049,0.399906,1.312614,28,1.000000
1,183,183,0.000000,0.134715,0.117171,0.309608,0.130852,0.399980,1.092325,28,1.000000
1,184,184,0.000000,0.132646,0.105289,0.159145,0.128619,0.399985,0.925685,34,0.970588
1,185,185,0.000000,0.120250,0.100869,0.212251,0.130766,0.799774,1.363910,28,1.000000
1,186,186,0.000000,0.150621,0.111352,0.283307,0.133394,0.399919,1.078593,21,1.000000
1,187,187,0.000000,0.109790,0.113536,0.167918,0.136171,0.399719,0.927135,42,0.952381
1,188,188,0.000000,0.134002,0.118519,0.131083,0.128905,0.400003,0.912511,30,0.966667
1,189,189,0.000000,0.122367,0.128994,0.205324,0.128171,0.799698,1.384554,29,1.000000
1,190,190,0.000000,0.114020,0.112181,0.148090,0.131233,0.399948,0.905472,27,1.000000
1,191,191,0.000000,0.109528,0.139344,0.175978,0.131247,0.399905,0.956002,32,1.000000
1,192,192,0.000000,0.121295,0.117293,0.140250,0.130363,0.399911,0.909113,34,0.970588
1,193,193,0.000000,0.139098,0.117056,0.134439,0.130776,0.399925,0.921295,29,1.000000
1,194,194,0.000000,0.139978,0.097413,0.147178,0.126835,0.399888,0.911292,24,1.000000
1,195,195,0.000000,0.149371,0.126942,0.085748,0.130060,0.401933,0.894054,36,0.944444
1,196,196,0.000000,0.093190,0.134074,0.133857,0.132553,0.399732,0.893406,39,1.000000
1,197,197,0.000000,0.104985,0.137682,0.159101,0.131053,0.399860,0.932680,30,1.000000
1,198,198,0.000000,0.102887,0.100568,0.101095,0.131512,0.400492,0.836554,31,1.000000
1,199,199,0.000000,0.182053,0.125533,0.125750,0.133386,0.399379,0.966102,38,0.921053
1,200,200,0.000000,0.112171,0.093456,0.306404,0.133605,0.399788,1.045424,35,0.971429
